"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"パートタイム労働者比率","D建設業","５人以上","2006.0","6.4","10.1","6.3","6.9","5.3","4.4","4.5","7.0","6.7","6.6","6.1","6.4","5.9"
"パートタイム労働者比率","D建設業","５人以上","2007.0","7.9","9.0","8.9","8.8","8.7","8.3","7.9","7.2","6.8","7.6","7.1","7.0","7.3"
"パートタイム労働者比率","D建設業","５人以上","2008.0","8.3","8.4","8.8","8.4","7.6","7.4","7.8","9.2","8.9","8.4","8.5","8.2","8.1"
"パートタイム労働者比率","D建設業","５人以上","2009.0","9.6","10.3","12.2","11.8","11.8","11.7","11.3","7.8","8.2","7.6","7.6","7.7","7.5"
"パートタイム労働者比率","D建設業","５人以上","2010.0","7.7","7.1","9.5","9.4","9.3","8.8","9.6","6.1","6.3","6.2","6.7","6.6","6.7"
"パートタイム労働者比率","D建設業","５人以上","2011.0","9.4","7.9","7.9","7.9","7.6","7.6","7.5","11.5","11.6","11.4","11.1","10.5","10.8"
"パートタイム労働者比率","D建設業","５人以上","2012.0","11.4","12.5","12.5","12.7","13.4","13.5","13.1","10.4","10.2","10.3","9.7","9.5","9.5"
"パートタイム労働者比率","D建設業","５人以上","2013.0","6.1","6.0","6.5","6.6","6.2","6.2","6.1","6.1","5.9","5.8","5.8","6.3","5.6"
"パートタイム労働者比率","D建設業","５人以上","2014.0","9.6","10.7","12.6","10.5","10.1","10.3","10.3","10.2","10.1","9.2","6.1","5.6","9.3"
"パートタイム労働者比率","D建設業","５人以上","2015.0","6.8","7.5","7.6","8.9","8.5","7.9","7.5","5.6","5.6","5.5","5.4","5.6","5.6"
"パートタイム労働者比率（前年差）","D建設業","５人以上","2006.0","1.1","5.9","1.3","1.9","0.2","-0.6","-0.6","4.6","1.3","0.2","0.6","-1.1","-1.6"
"パートタイム労働者比率（前年差）","D建設業","５人以上","2007.0","1.5","-1.1","2.6","1.9","3.4","3.9","3.4","0.2","0.1","1.0","1.0","0.6","1.4"
"パートタイム労働者比率（前年差）","D建設業","５人以上","2008.0","0.4","-0.6","-0.1","-0.4","-1.1","-0.9","-0.1","2.0","2.1","0.8","1.4","1.2","0.8"
"パートタイム労働者比率（前年差）","D建設業","５人以上","2009.0","1.3","1.9","3.4","3.4","4.2","4.3","3.5","-1.4","-0.7","-0.8","-0.9","-0.5","-0.6"
"パートタイム労働者比率（前年差）","D建設業","５人以上","2010.0","-1.9","-3.2","-2.7","-2.4","-2.5","-2.9","-1.7","-1.7","-1.9","-1.4","-0.9","-1.1","-0.8"
"パートタイム労働者比率（前年差）","D建設業","５人以上","2011.0","1.7","0.8","-1.6","-1.5","-1.7","-1.2","-2.1","5.4","5.3","5.2","4.4","3.9","4.1"
"パートタイム労働者比率（前年差）","D建設業","５人以上","2012.0","2.0","4.6","4.6","4.8","5.8","5.9","5.6","-1.1","-1.4","-1.1","-1.4","-1.0","-1.3"
"パートタイム労働者比率（前年差）","D建設業","５人以上","2013.0","-5.3","-6.5","-6.0","-6.1","-7.2","-7.3","-7.0","-4.3","-4.3","-4.5","-3.9","-3.2","-3.9"
"パートタイム労働者比率（前年差）","D建設業","５人以上","2014.0","3.5","4.7","6.1","3.9","3.9","4.1","4.2","4.1","4.2","3.4","0.3","-0.7","3.7"
"パートタイム労働者比率（前年差）","D建設業","５人以上","2015.0","-2.8","-3.2","-5.0","-1.6","-1.6","-2.4","-2.8","-4.6","-4.5","-3.7","-0.7","0.0","-3.7"
"パートタイム労働者比率","E製造業","５人以上","2005.0","24.1","25.0","24.5","24.3","25.0","25.0","25.1","23.6","23.4","23.7","22.7","23.5","22.8"
"パートタイム労働者比率","E製造業","５人以上","2006.0","24.1","25.2","24.6","24.6","23.3","24.3","24.5","24.4","23.1","24.0","24.3","23.9","23.1"
"パートタイム労働者比率","E製造業","５人以上","2007.0","19.0","16.6","17.3","17.1","16.9","17.6","18.0","20.8","20.8","20.3","20.2","20.4","21.5"
"パートタイム労働者比率","E製造業","５人以上","2008.0","18.5","17.7","17.0","17.1","17.3","17.2","17.0","19.8","19.0","20.3","19.0","19.6","21.1"
"パートタイム労働者比率","E製造業","５人以上","2009.0","18.3","18.7","17.6","17.6","18.0","19.4","19.6","17.4","16.5","18.1","18.6","18.6","19.1"
"パートタイム労働者比率","E製造業","５人以上","2010.0","17.6","18.6","18.5","18.8","18.0","18.5","18.3","16.4","16.6","16.8","16.7","17.1","16.9"
"パートタイム労働者比率","E製造業","５人以上","2011.0","17.9","18.5","18.2","18.6","18.8","18.8","18.5","16.6","16.5","15.8","16.9","18.8","18.4"
"パートタイム労働者比率","E製造業","５人以上","2012.0","14.7","14.9","15.0","14.7","16.3","15.9","15.2","14.7","14.5","14.5","14.6","13.1","13.0"
"パートタイム労働者比率","E製造業","５人以上","2013.0","14.9","13.7","13.8","14.0","13.7","13.4","13.5","15.1","15.9","16.0","16.0","16.3","16.8"
"パートタイム労働者比率","E製造業","５人以上","2014.0","16.3","17.3","17.4","17.2","16.8","16.8","17.4","15.4","15.3","15.4","15.3","15.5","15.3"
"パートタイム労働者比率","E製造業","５人以上","2015.0","15.6","16.6","15.7","16.2","15.0","15.2","15.5","15.1","15.8","15.3","15.1","15.7","15.8"
"パートタイム労働者比率（前年差）","E製造業","５人以上","2006.0","0.0","0.2","0.1","0.3","-1.7","-0.7","-0.6","0.8","-0.3","0.3","1.6","0.4","0.3"
"パートタイム労働者比率（前年差）","E製造業","５人以上","2007.0","-5.1","-8.6","-7.3","-7.5","-6.4","-6.7","-6.5","-3.6","-2.3","-3.7","-4.1","-3.5","-1.6"
"パートタイム労働者比率（前年差）","E製造業","５人以上","2008.0","-0.5","1.1","-0.3","0.0","0.4","-0.4","-1.0","-1.0","-1.8","0.0","-1.2","-0.8","-0.4"
"パートタイム労働者比率（前年差）","E製造業","５人以上","2009.0","-0.2","1.0","0.6","0.5","0.7","2.2","2.6","-2.4","-2.5","-2.2","-0.4","-1.0","-2.0"
"パートタイム労働者比率（前年差）","E製造業","５人以上","2010.0","-0.7","-0.1","0.9","1.2","0.0","-0.9","-1.3","-1.0","0.1","-1.3","-1.9","-1.5","-2.2"
"パートタイム労働者比率（前年差）","E製造業","５人以上","2011.0","0.3","-0.1","-0.3","-0.2","0.8","0.3","0.2","0.2","-0.1","-1.0","0.2","1.7","1.5"
"パートタイム労働者比率（前年差）","E製造業","５人以上","2012.0","-3.2","-3.6","-3.2","-3.9","-2.5","-2.9","-3.3","-1.9","-2.0","-1.3","-2.3","-5.7","-5.4"
"パートタイム労働者比率（前年差）","E製造業","５人以上","2013.0","0.2","-1.2","-1.2","-0.7","-2.6","-2.5","-1.7","0.4","1.4","1.5","1.4","3.2","3.8"
"パートタイム労働者比率（前年差）","E製造業","５人以上","2014.0","1.4","3.6","3.6","3.2","3.1","3.4","3.9","0.3","-0.6","-0.6","-0.7","-0.8","-1.5"
"パートタイム労働者比率（前年差）","E製造業","５人以上","2015.0","-0.7","-0.7","-1.7","-1.0","-1.8","-1.6","-1.9","-0.3","0.5","-0.1","-0.2","0.2","0.5"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","５人以上","2005.0","1.1","0.0","0.0","0.0","0.0","3.5","3.7","1.2","1.1","1.1","1.1","1.1","0.9"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","５人以上","2006.0","0.4","0.8","0.7","0.7","0.7","0.7","0.7","0.0","0.0","0.0","0.0","0.0","0.0"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","５人以上","2007.0","3.1","1.3","1.3","1.3","1.3","1.3","1.3","4.8","4.9","4.9","4.9","4.9","4.9"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","５人以上","2008.0","10.3","19.0","19.0","19.1","19.1","19.3","19.0","1.3","1.5","1.5","1.5","1.5","1.5"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","５人以上","2009.0","1.5","0.5","0.5","0.1","1.8","1.9","1.8","1.9","1.9","1.9","1.9","1.9","1.9"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","５人以上","2010.0","1.7","1.8","2.0","1.0","1.7","1.7","1.7","1.8","1.8","1.8","1.8","1.8","1.8"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","５人以上","2011.0","1.8","1.6","1.6","1.4","1.9","1.9","1.8","1.8","1.8","1.8","1.8","1.8","1.9"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","５人以上","2012.0","3.0","2.7","2.7","2.4","2.5","2.5","2.4","3.4","3.6","3.6","3.6","3.5","3.6"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","５人以上","2013.0","8.3","7.2","7.1","7.1","7.1","7.0","6.6","6.6","6.6","6.6","12.7","12.8","12.7"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","５人以上","2014.0","5.7","12.8","6.7","6.7","6.8","6.8","6.8","3.6","3.6","4.0","3.6","3.6","3.6"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","５人以上","2015.0","1.6","0.1","0.1","0.1","3.2","3.3","3.2","2.7","1.4","1.4","1.3","1.3","1.3"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2006.0","-0.7","0.8","0.7","0.7","0.7","-2.8","-3.0","-1.2","-1.1","-1.1","-1.1","-1.1","-0.9"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2007.0","2.7","0.5","0.6","0.6","0.6","0.6","0.6","4.8","4.9","4.9","4.9","4.9","4.9"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2008.0","7.2","17.7","17.7","17.8","17.8","18.0","17.7","-3.5","-3.4","-3.4","-3.4","-3.4","-3.4"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2009.0","-8.8","-18.5","-18.5","-19.0","-17.3","-17.4","-17.2","0.6","0.4","0.4","0.4","0.4","0.4"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2010.0","0.2","1.3","1.5","0.9","-0.1","-0.2","-0.1","-0.1","-0.1","-0.1","-0.1","-0.1","-0.1"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2011.0","0.1","-0.2","-0.4","0.4","0.2","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.1"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2012.0","1.2","1.1","1.1","1.0","0.6","0.6","0.6","1.6","1.8","1.8","1.8","1.7","1.7"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2013.0","5.3","4.5","4.4","4.7","4.6","4.5","4.2","3.2","3.0","3.0","9.1","9.3","9.1"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2014.0","-2.6","5.6","-0.4","-0.4","-0.3","-0.2","0.2","-3.0","-3.0","-2.6","-9.1","-9.2","-9.1"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2015.0","-4.1","-12.7","-6.6","-6.6","-3.6","-3.5","-3.6","-0.9","-2.2","-2.6","-2.3","-2.3","-2.3"
"パートタイム労働者比率","G情報通信業","５人以上","2005.0","20.3","20.2","19.6","19.3","19.8","19.6","19.8","20.9","19.7","22.5","19.2","20.4","22.1"
"パートタイム労働者比率","G情報通信業","５人以上","2006.0","20.4","19.6","19.2","19.1","20.5","21.2","20.9","20.9","20.7","21.3","21.1","19.9","19.8"
"パートタイム労働者比率","G情報通信業","５人以上","2007.0","27.3","25.7","25.4","27.3","25.6","28.0","29.3","29.0","27.3","28.1","22.0","29.9","29.5"
"パートタイム労働者比率","G情報通信業","５人以上","2008.0","30.2","27.8","28.3","28.1","26.9","26.8","25.6","34.8","34.5","34.4","34.8","10.2","50.4"
"パートタイム労働者比率","G情報通信業","５人以上","2009.0","12.8","15.3","14.6","15.6","14.2","13.8","15.4","9.8","9.9","9.5","9.4","9.2","16.6"
"パートタイム労働者比率","G情報通信業","５人以上","2010.0","4.6","2.6","3.0","3.0","3.3","5.0","5.1","5.3","5.5","5.6","5.6","5.7","5.5"
"パートタイム労働者比率","G情報通信業","５人以上","2011.0","4.3","3.8","3.9","3.6","4.4","4.3","4.3","4.3","4.5","4.8","4.7","4.4","4.4"
"パートタイム労働者比率","G情報通信業","５人以上","2012.0","4.1","3.6","3.9","3.4","3.3","3.6","3.0","3.8","4.7","4.7","5.0","5.2","4.7"
"パートタイム労働者比率","G情報通信業","５人以上","2013.0","2.9","2.9","2.9","2.9","1.9","3.2","2.8","4.1","2.8","2.0","3.2","3.0","3.3"
"パートタイム労働者比率","G情報通信業","５人以上","2014.0","2.7","3.0","3.0","3.4","2.4","2.4","2.3","2.5","2.5","2.5","2.5","2.9","3.0"
"パートタイム労働者比率","G情報通信業","５人以上","2015.0","19.8","22.3","21.1","20.5","20.8","20.4","20.0","18.6","18.3","18.8","19.3","19.0","18.7"
"パートタイム労働者比率（前年差）","G情報通信業","５人以上","2006.0","0.1","-0.6","-0.4","-0.2","0.7","1.6","1.1","0.0","1.0","-1.2","1.9","-0.5","-2.3"
"パートタイム労働者比率（前年差）","G情報通信業","５人以上","2007.0","6.9","6.1","6.2","8.2","5.1","6.8","8.4","8.1","6.6","6.8","0.9","10.0","9.7"
"パートタイム労働者比率（前年差）","G情報通信業","５人以上","2008.0","2.9","2.1","2.9","0.8","1.3","-1.2","-3.7","5.8","7.2","6.3","12.8","-19.7","20.9"
"パートタイム労働者比率（前年差）","G情報通信業","５人以上","2009.0","-17.4","-12.5","-13.7","-12.5","-12.7","-13.0","-10.2","-25.0","-24.6","-24.9","-25.4","-1.0","-33.8"
"パートタイム労働者比率（前年差）","G情報通信業","５人以上","2010.0","-8.2","-12.7","-11.6","-12.6","-10.9","-8.8","-10.3","-4.5","-4.4","-3.9","-3.8","-3.5","-11.1"
"パートタイム労働者比率（前年差）","G情報通信業","５人以上","2011.0","-0.3","1.2","0.9","0.6","1.1","-0.7","-0.8","-1.0","-1.0","-0.8","-0.9","-1.3","-1.1"
"パートタイム労働者比率（前年差）","G情報通信業","５人以上","2012.0","-0.2","-0.2","0.0","-0.2","-1.1","-0.7","-1.3","-0.5","0.2","-0.1","0.3","0.8","0.3"
"パートタイム労働者比率（前年差）","G情報通信業","５人以上","2013.0","-1.2","-0.7","-1.0","-0.5","-1.4","-0.4","-0.2","0.3","-1.9","-2.7","-1.8","-2.2","-1.4"
"パートタイム労働者比率（前年差）","G情報通信業","５人以上","2014.0","-0.2","0.1","0.1","0.5","0.5","-0.8","-0.5","-1.6","-0.3","0.5","-0.7","-0.1","-0.3"
"パートタイム労働者比率（前年差）","G情報通信業","５人以上","2015.0","17.1","19.3","18.1","17.1","18.4","18.0","17.7","16.1","15.8","16.3","16.8","16.1","15.7"
"パートタイム労働者比率","H運輸業、郵便業","５人以上","2005.0","7.8","5.8","7.2","7.2","7.3","8.5","6.9","7.8","9.3","9.0","8.7","8.5","6.8"
"パートタイム労働者比率","H運輸業、郵便業","５人以上","2006.0","12.9","12.4","12.8","10.2","9.6","12.8","10.4","14.5","12.5","12.7","14.3","15.3","16.8"
"パートタイム労働者比率","H運輸業、郵便業","５人以上","2007.0","10.8","17.3","10.8","11.1","10.6","10.9","10.4","9.2","8.8","9.2","10.7","11.5","9.6"
"パートタイム労働者比率","H運輸業、郵便業","５人以上","2008.0","12.8","9.6","9.4","9.9","9.3","9.4","9.5","15.7","16.1","16.2","15.9","16.0","16.0"
"パートタイム労働者比率","H運輸業、郵便業","５人以上","2009.0","24.8","25.8","24.8","24.9","24.6","24.5","24.9","24.7","23.1","24.7","24.7","25.9","25.0"
"パートタイム労働者比率","H運輸業、郵便業","５人以上","2010.0","18.0","19.1","14.9","14.9","19.2","18.1","21.2","19.2","18.4","18.8","17.6","18.7","16.0"
"パートタイム労働者比率","H運輸業、郵便業","５人以上","2011.0","21.0","23.5","21.2","21.2","22.7","21.1","21.4","19.4","21.1","20.7","21.9","19.1","18.8"
"パートタイム労働者比率","H運輸業、郵便業","５人以上","2012.0","17.1","16.0","15.7","18.0","18.7","18.8","18.4","16.2","16.3","16.4","16.8","17.2","17.0"
"パートタイム労働者比率","H運輸業、郵便業","５人以上","2013.0","17.3","17.8","18.2","18.3","17.8","17.7","18.0","16.7","16.3","16.0","16.7","16.8","17.1"
"パートタイム労働者比率","H運輸業、郵便業","５人以上","2014.0","16.8","18.7","18.7","19.3","19.3","19.2","17.3","14.7","14.4","13.8","14.8","15.6","15.6"
"パートタイム労働者比率","H運輸業、郵便業","５人以上","2015.0","12.9","13.7","11.7","11.9","9.3","9.4","17.5","15.0","14.8","14.7","13.9","13.5","9.9"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","５人以上","2006.0","5.1","6.6","5.6","3.0","2.3","4.3","3.5","6.7","3.2","3.7","5.6","6.8","10.0"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","５人以上","2007.0","-2.1","4.9","-2.0","0.9","1.0","-1.9","0.0","-5.3","-3.7","-3.5","-3.6","-3.8","-7.2"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","５人以上","2008.0","2.0","-7.7","-1.4","-1.2","-1.3","-1.5","-0.9","6.5","7.3","7.0","5.2","4.5","6.4"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","５人以上","2009.0","12.0","16.2","15.4","15.0","15.3","15.1","15.4","9.0","7.0","8.5","8.8","9.9","9.0"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","５人以上","2010.0","-6.8","-6.7","-9.9","-10.0","-5.4","-6.4","-3.7","-5.5","-4.7","-5.9","-7.1","-7.2","-9.0"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","５人以上","2011.0","3.0","4.4","6.3","6.3","3.5","3.0","0.2","0.2","2.7","1.9","4.3","0.4","2.8"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","５人以上","2012.0","-3.9","-7.5","-5.5","-3.2","-4.0","-2.3","-3.0","-3.2","-4.8","-4.3","-5.1","-1.9","-1.8"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","５人以上","2013.0","0.2","1.8","2.5","0.3","-0.9","-1.1","-0.4","0.5","0.0","-0.4","-0.1","-0.4","0.1"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","５人以上","2014.0","-0.5","0.9","0.5","1.0","1.5","1.5","-0.7","-2.0","-1.9","-2.2","-1.9","-1.2","-1.5"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","５人以上","2015.0","-3.9","-5.0","-7.0","-7.4","-10.0","-9.8","0.2","0.3","0.4","0.9","-0.9","-2.1","-5.7"
"パートタイム労働者比率","I卸売業・小売業","５人以上","2005.0","46.2","47.6","47.6","48.1","45.0","43.3","42.7","47.1","47.2","46.6","46.6","46.2","46.2"
"パートタイム労働者比率","I卸売業・小売業","５人以上","2006.0","40.1","39.7","40.5","39.4","38.9","39.9","40.2","39.1","40.5","41.7","40.4","40.9","40.5"
"パートタイム労働者比率","I卸売業・小売業","５人以上","2007.0","42.6","37.5","40.0","39.5","39.3","39.2","39.7","46.8","48.1","47.3","44.6","45.0","44.7"
"パートタイム労働者比率","I卸売業・小売業","５人以上","2008.0","45.1","44.1","44.0","43.6","43.8","43.2","43.3","47.2","46.3","46.0","46.5","46.3","46.7"
"パートタイム労働者比率","I卸売業・小売業","５人以上","2009.0","57.7","58.9","58.2","59.0","56.0","58.0","57.8","57.5","57.2","56.9","56.5","58.1","58.1"
"パートタイム労働者比率","I卸売業・小売業","５人以上","2010.0","54.7","53.1","51.5","53.5","54.1","53.2","53.5","56.0","55.9","54.7","55.5","57.6","57.3"
"パートタイム労働者比率","I卸売業・小売業","５人以上","2011.0","58.2","57.9","58.1","58.6","59.1","58.5","58.1","58.6","58.7","58.5","57.2","57.5","57.8"
"パートタイム労働者比率","I卸売業・小売業","５人以上","2012.0","53.7","51.3","51.2","54.2","51.6","52.4","51.5","55.1","55.7","55.8","55.7","55.5","54.0"
"パートタイム労働者比率","I卸売業・小売業","５人以上","2013.0","53.8","55.6","56.4","54.2","53.9","54.6","54.2","53.4","53.0","52.2","52.6","53.6","52.2"
"パートタイム労働者比率","I卸売業・小売業","５人以上","2014.0","46.9","46.3","46.8","47.4","47.0","47.1","46.3","46.5","46.6","46.9","47.0","47.8","47.0"
"パートタイム労働者比率","I卸売業・小売業","５人以上","2015.0","51.8","49.5","52.6","53.1","49.2","49.0","49.7","52.8","52.8","53.0","53.1","52.6","53.6"
