"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2013.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2014.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2015.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"パートタイム労働者比率","D建設業","３０人以上","2005.0","4.9","Ｘ","3.4","4.8","4.8","4.8","4.8","4.8","4.8","6.1","6.3","6.3","6.3"
"パートタイム労働者比率","D建設業","３０人以上","2006.0","6.4","Ｘ","Ｘ","6.2","6.3","6.2","6.3","6.3","6.1","6.2","6.2","Ｘ","Ｘ"
"パートタイム労働者比率","D建設業","３０人以上","2007.0","16.9","16.3","16.4","16.4","16.7","16.8","16.6","17.6","17.3","18.4","16.9","16.6","17.0"
"パートタイム労働者比率","D建設業","３０人以上","2008.0","17.6","18.0","19.0","18.6","18.1","17.7","17.7","17.6","17.3","17.1","16.9","16.6","16.1"
"パートタイム労働者比率","D建設業","３０人以上","2009.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"パートタイム労働者比率","D建設業","３０人以上","2010.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"パートタイム労働者比率","D建設業","３０人以上","2011.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"パートタイム労働者比率","D建設業","３０人以上","2012.0","12.9","12.1","12.3","12.8","13.1","12.6","12.9","13.0","13.7","14.2","12.7","12.9","12.9"
"パートタイム労働者比率","D建設業","３０人以上","2013.0","12.2","12.8","12.7","13.0","12.0","11.9","11.7","11.7","12.0","12.0","12.3","12.0","12.2"
"パートタイム労働者比率","D建設業","３０人以上","2014.0","9.9","11.6","11.9","12.0","11.6","11.5","11.6","11.7","11.6","12.2","0.4","0.4","11.9"
"パートタイム労働者比率","D建設業","３０人以上","2015.0","6.2","6.2","6.4","6.5","6.1","6.1","6.1","6.2","6.2","6.2","6.2","6.2","6.2"
"パートタイム労働者比率（前年差）","D建設業","３０人以上","2006.0","1.5","Ｘ","Ｘ","1.4","1.5","1.4","1.5","1.5","1.3","0.1","-0.1","-1.4","-1.4"
"パートタイム労働者比率（前年差）","D建設業","３０人以上","2007.0","10.5","Ｘ","Ｘ","10.2","10.4","10.6","10.3","11.3","11.2","12.2","10.7","Ｘ","Ｘ"
"パートタイム労働者比率（前年差）","D建設業","３０人以上","2008.0","0.7","1.7","2.6","2.2","1.4","0.9","1.1","0.0","0.0","-1.3","0.0","0.0","-0.9"
"パートタイム労働者比率（前年差）","D建設業","３０人以上","2009.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"パートタイム労働者比率（前年差）","D建設業","３０人以上","2010.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"パートタイム労働者比率（前年差）","D建設業","３０人以上","2011.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"パートタイム労働者比率（前年差）","D建設業","３０人以上","2012.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"パートタイム労働者比率（前年差）","D建設業","３０人以上","2013.0","-0.7","0.7","0.4","0.2","-1.1","-0.7","-1.2","-1.3","-1.7","-2.2","-0.4","-0.9","-0.7"
"パートタイム労働者比率（前年差）","D建設業","３０人以上","2014.0","-2.3","-1.2","-0.8","-1.0","-0.4","-0.4","-0.1","0.0","-0.4","0.2","-11.9","-11.6","-0.3"
"パートタイム労働者比率（前年差）","D建設業","３０人以上","2015.0","-3.7","-5.4","-5.5","-5.5","-5.5","-5.4","-5.5","-5.5","-5.4","-6.0","5.8","5.8","-5.7"
"パートタイム労働者比率","E製造業","３０人以上","2005.0","21.2","21.0","20.8","20.4","20.4","21.5","21.8","21.8","21.8","22.2","20.8","21.9","19.9"
"パートタイム労働者比率","E製造業","３０人以上","2006.0","20.3","22.2","21.3","21.0","19.2","20.3","20.2","20.3","19.2","20.3","20.5","20.0","19.0"
"パートタイム労働者比率","E製造業","３０人以上","2007.0","10.2","9.8","10.9","10.6","9.9","10.2","10.5","9.9","10.7","10.4","10.0","10.0","10.0"
"パートタイム労働者比率","E製造業","３０人以上","2008.0","9.4","9.7","10.1","9.8","9.6","9.9","10.0","9.6","8.7","8.9","7.9","9.3","9.5"
"パートタイム労働者比率","E製造業","３０人以上","2009.0","9.9","9.6","8.2","7.9","9.6","9.4","10.2","9.6","9.5","10.7","10.6","11.2","11.7"
"パートタイム労働者比率","E製造業","３０人以上","2010.0","10.9","10.5","10.6","10.9","10.3","10.8","10.8","10.9","11.1","11.1","10.9","11.4","11.2"
"パートタイム労働者比率","E製造業","３０人以上","2011.0","11.6","11.3","11.1","11.5","11.6","11.4","11.6","11.8","11.8","11.7","12.0","11.5","11.4"
"パートタイム労働者比率","E製造業","３０人以上","2012.0","11.7","12.4","12.6","12.3","12.2","12.2","11.8","11.4","11.3","12.1","12.1","9.9","10.3"
"パートタイム労働者比率","E製造業","３０人以上","2013.0","10.0","10.0","9.9","10.0","9.8","9.7","9.8","9.8","9.8","10.2","10.2","10.3","10.5"
"パートタイム労働者比率","E製造業","３０人以上","2014.0","10.3","10.3","10.2","10.2","10.0","10.0","10.2","10.2","10.3","10.4","10.6","10.7","10.5"
"パートタイム労働者比率","E製造業","３０人以上","2015.0","13.0","14.6","13.4","14.2","12.8","13.2","13.4","12.9","12.8","12.2","12.1","12.3","12.0"
"パートタイム労働者比率（前年差）","E製造業","３０人以上","2006.0","-0.9","1.2","0.5","0.6","-1.2","-1.2","-1.6","-1.5","-2.6","-1.9","-0.3","-1.9","-0.9"
"パートタイム労働者比率（前年差）","E製造業","３０人以上","2007.0","-10.1","-12.4","-10.4","-10.4","-9.3","-10.1","-9.7","-10.4","-8.5","-9.9","-10.5","-10.0","-9.0"
"パートタイム労働者比率（前年差）","E製造業","３０人以上","2008.0","-0.8","-0.1","-0.8","-0.8","-0.3","-0.3","-0.5","-0.3","-2.0","-1.5","-2.1","-0.7","-0.5"
"パートタイム労働者比率（前年差）","E製造業","３０人以上","2009.0","0.5","-0.1","-1.9","-1.9","0.0","-0.5","0.2","0.0","0.8","1.8","2.7","1.9","2.2"
"パートタイム労働者比率（前年差）","E製造業","３０人以上","2010.0","1.0","0.9","2.4","3.0","0.7","1.4","0.6","1.3","1.6","0.4","0.3","0.2","-0.5"
"パートタイム労働者比率（前年差）","E製造業","３０人以上","2011.0","0.7","0.8","0.5","0.6","1.3","0.6","0.8","0.9","0.7","0.6","1.1","0.1","0.2"
"パートタイム労働者比率（前年差）","E製造業","３０人以上","2012.0","0.1","1.1","1.5","0.8","0.6","0.8","0.2","-0.4","-0.5","0.4","0.1","-1.6","-1.1"
"パートタイム労働者比率（前年差）","E製造業","３０人以上","2013.0","-1.7","-2.4","-2.7","-2.3","-2.4","-2.5","-2.0","-1.6","-1.5","-1.9","-1.9","0.4","0.2"
"パートタイム労働者比率（前年差）","E製造業","３０人以上","2014.0","0.3","0.3","0.3","0.2","0.2","0.3","0.4","0.4","0.5","0.2","0.4","0.4","0.0"
"パートタイム労働者比率（前年差）","E製造業","３０人以上","2015.0","2.7","4.3","3.2","4.0","2.8","3.2","3.2","2.7","2.5","1.8","1.5","1.6","1.5"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","３０人以上","2005.0","0.2","0.0","0.0","0.0","0.0","0.0","0.3","0.3","0.3","0.3","0.3","0.3","0.0"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","３０人以上","2006.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","３０人以上","2007.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","３０人以上","2008.0","0.2","0.0","0.0","0.0","0.0","0.2","0.2","0.2","0.4","0.4","0.4","0.4","0.4"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","３０人以上","2009.0","1.8","0.6","0.6","0.0","2.4","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","３０人以上","2010.0","2.1","2.3","2.5","1.3","2.2","2.2","2.2","2.1","2.1","2.1","2.1","2.1","2.1"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","３０人以上","2011.0","2.4","2.1","2.2","1.9","2.6","2.6","2.5","2.5","2.4","2.4","2.4","2.4","2.5"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","３０人以上","2012.0","3.6","3.8","3.7","3.4","3.5","3.5","3.4","3.4","3.6","3.6","3.6","3.5","3.6"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","３０人以上","2013.0","3.5","3.6","3.6","3.6","3.7","3.6","3.3","3.3","3.3","3.3","3.3","3.5","3.3"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","３０人以上","2014.0","3.6","3.3","3.3","3.3","3.6","3.6","3.6","3.6","3.6","4.0","3.6","3.6","3.6"
"パートタイム労働者比率","F電気・ガス・熱供給・水道業","３０人以上","2015.0","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.0","0.0","0.0"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2006.0","-0.2","0.1","0.0","0.0","0.0","0.0","-0.3","-0.3","-0.3","-0.3","-0.3","-0.3","0.0"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2007.0","0.0","-0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2008.0","0.2","0.0","0.0","0.0","0.0","0.2","0.2","0.2","0.4","0.4","0.4","0.4","0.4"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2009.0","1.6","0.6","0.6","0.0","2.4","2.1","2.1","2.1","1.9","1.9","1.9","1.9","1.9"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2010.0","0.3","1.7","1.9","1.3","-0.2","-0.1","-0.1","-0.2","-0.2","-0.2","-0.2","-0.2","-0.2"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2011.0","0.3","-0.2","-0.3","0.6","0.4","0.4","0.3","0.4","0.3","0.3","0.3","0.3","0.4"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2012.0","1.2","1.7","1.5","1.5","0.9","0.9","0.9","0.9","1.2","1.2","1.2","1.1","1.1"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2013.0","-0.1","-0.2","-0.1","0.2","0.2","0.1","-0.1","-0.1","-0.3","-0.3","-0.3","0.0","-0.3"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2014.0","0.1","-0.3","-0.3","-0.3","-0.1","0.0","0.3","0.3","0.3","0.7","0.3","0.1","0.3"
"パートタイム労働者比率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2015.0","-3.4","-3.1","-3.1","-3.1","-3.4","-3.4","-3.4","-3.4","-3.4","-3.8","-3.6","-3.6","-3.6"
"パートタイム労働者比率","G情報通信業","３０人以上","2005.0","25.6","25.0","24.0","23.9","24.6","24.4","24.6","26.8","25.3","28.8","24.9","26.2","28.3"
"パートタイム労働者比率","G情報通信業","３０人以上","2006.0","25.5","25.3","24.8","24.6","25.2","25.8","25.5","27.0","25.8","26.3","26.3","24.7","24.4"
"パートタイム労働者比率","G情報通信業","３０人以上","2007.0","22.5","19.9","19.9","19.5","19.6","22.2","24.1","23.8","21.4","22.5","24.6","26.0","26.0"
"パートタイム労働者比率","G情報通信業","３０人以上","2008.0","30.5","25.2","25.9","25.6","25.0","24.8","24.3","38.3","37.9","37.7","38.5","1.7","61.1"
"パートタイム労働者比率","G情報通信業","３０人以上","2009.0","16.2","18.1","17.1","18.6","17.3","16.6","18.4","13.5","13.6","13.1","13.0","12.5","22.0"
"パートタイム労働者比率","G情報通信業","３０人以上","2010.0","1.8","1.3","1.3","1.3","1.6","1.6","1.6","1.7","2.1","2.3","2.3","2.2","2.1"
"パートタイム労働者比率","G情報通信業","３０人以上","2011.0","2.7","2.1","2.2","2.2","3.3","3.1","3.1","3.0","2.6","2.7","2.6","2.6","2.6"
"パートタイム労働者比率","G情報通信業","３０人以上","2012.0","2.2","2.1","2.5","1.8","1.8","2.2","1.8","2.2","2.3","2.2","2.7","2.7","2.2"
"パートタイム労働者比率","G情報通信業","３０人以上","2013.0","2.5","2.3","2.3","2.2","2.7","2.9","2.3","4.2","2.3","1.2","2.6","2.3","2.7"
"パートタイム労働者比率","G情報通信業","３０人以上","2014.0","1.3","2.7","2.7","2.4","0.9","0.8","0.8","0.8","0.8","0.9","0.8","0.8","0.8"
"パートタイム労働者比率","G情報通信業","３０人以上","2015.0","28.2","Ｘ","28.5","28.0","28.4","27.4","27.3","27.5","26.9","28.4","28.8","28.6","28.2"
"パートタイム労働者比率（前年差）","G情報通信業","３０人以上","2006.0","-0.1","0.3","0.8","0.7","0.6","1.4","0.9","0.2","0.5","-2.5","1.4","-1.5","-3.9"
"パートタイム労働者比率（前年差）","G情報通信業","３０人以上","2007.0","-3.0","-5.4","-4.9","-5.1","-5.6","-3.6","-1.4","-3.2","-4.4","-3.8","-1.7","1.3","1.6"
"パートタイム労働者比率（前年差）","G情報通信業","３０人以上","2008.0","8.0","5.3","6.0","6.1","5.4","2.6","0.2","14.5","16.5","15.2","13.9","-24.3","35.1"
"パートタイム労働者比率（前年差）","G情報通信業","３０人以上","2009.0","-14.3","-7.1","-8.8","-7.0","-7.7","-8.2","-5.9","-24.8","-24.3","-24.6","-25.5","10.8","-39.1"
"パートタイム労働者比率（前年差）","G情報通信業","３０人以上","2010.0","-14.4","-16.8","-15.8","-17.3","-15.7","-15.0","-16.8","-11.8","-11.5","-10.8","-10.7","-10.3","-19.9"
"パートタイム労働者比率（前年差）","G情報通信業","３０人以上","2011.0","0.9","0.8","0.9","0.9","1.7","1.5","1.5","1.3","0.5","0.4","0.3","0.4","0.5"
"パートタイム労働者比率（前年差）","G情報通信業","３０人以上","2012.0","-0.5","0.0","0.3","-0.4","-1.5","-0.9","-1.3","-0.8","-0.3","-0.5","0.1","0.1","-0.4"
"パートタイム労働者比率（前年差）","G情報通信業","３０人以上","2013.0","0.3","0.2","-0.2","0.4","0.9","0.7","0.5","2.0","0.0","-1.0","-0.1","-0.4","0.5"
"パートタイム労働者比率（前年差）","G情報通信業","３０人以上","2014.0","-1.2","0.4","0.4","0.2","-1.8","-2.1","-1.5","-3.4","-1.5","-0.3","-1.8","-1.5","-1.9"
"パートタイム労働者比率（前年差）","G情報通信業","３０人以上","2015.0","26.9","Ｘ","25.8","25.6","27.5","26.6","26.5","26.7","26.1","27.5","28.0","27.8","27.4"
"パートタイム労働者比率","H運輸業、郵便業","３０人以上","2005.0","10.9","8.8","10.9","10.9","11.0","13.0","10.5","10.2","12.7","12.3","11.6","10.8","7.9"
"パートタイム労働者比率","H運輸業、郵便業","３０人以上","2006.0","10.6","7.8","8.1","7.9","7.3","13.1","10.4","12.6","10.3","12.2","14.4","13.2","9.4"
"パートタイム労働者比率","H運輸業、郵便業","３０人以上","2007.0","9.7","9.6","9.9","10.1","9.4","9.6","9.1","9.2","8.9","9.6","10.5","10.6","10.0"
"パートタイム労働者比率","H運輸業、郵便業","３０人以上","2008.0","10.5","11.0","10.7","11.4","10.2","10.1","10.3","10.3","10.2","10.5","10.5","10.6","10.6"
"パートタイム労働者比率","H運輸業、郵便業","３０人以上","2009.0","18.1","16.4","16.6","15.9","16.2","16.3","17.0","19.8","16.9","20.0","20.1","22.3","19.9"
"パートタイム労働者比率","H運輸業、郵便業","３０人以上","2010.0","20.1","22.5","16.5","16.6","23.3","20.4","22.7","19.2","19.0","21.5","19.6","22.0","17.6"
"パートタイム労働者比率","H運輸業、郵便業","３０人以上","2011.0","20.0","22.1","19.3","19.2","21.6","18.7","18.9","18.7","21.8","21.8","24.2","17.0","17.0"
"パートタイム労働者比率","H運輸業、郵便業","３０人以上","2012.0","16.3","13.2","13.2","17.2","16.6","16.4","16.2","16.5","16.7","17.0","17.3","18.0","17.7"
"パートタイム労働者比率","H運輸業、郵便業","３０人以上","2013.0","16.8","17.7","17.4","17.6","16.8","16.7","17.3","16.9","16.5","16.0","16.1","16.3","16.0"
"パートタイム労働者比率","H運輸業、郵便業","３０人以上","2014.0","17.0","16.2","16.1","17.0","16.7","16.5","14.3","16.7","16.9","16.8","17.9","19.6","19.7"
"パートタイム労働者比率","H運輸業、郵便業","３０人以上","2015.0","16.4","16.2","14.1","14.0","9.9","10.1","23.7","19.9","19.5","19.4","18.6","18.7","12.7"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","３０人以上","2006.0","-0.3","-1.0","-2.8","-3.0","-3.7","0.1","-0.1","2.4","-2.4","-0.1","2.8","2.4","1.5"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","３０人以上","2007.0","-0.9","1.8","1.8","2.2","2.1","-3.5","-1.3","-3.4","-1.4","-2.6","-3.9","-2.6","0.6"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","３０人以上","2008.0","0.8","1.4","0.8","1.3","0.8","0.5","1.2","1.1","1.3","0.9","0.0","0.0","0.6"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","３０人以上","2009.0","7.6","5.4","5.9","4.5","6.0","6.2","6.7","9.5","6.7","9.5","9.6","11.7","9.3"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","３０人以上","2010.0","2.0","6.1","-0.1","0.7","7.1","4.1","5.7","-0.6","2.1","1.5","-0.5","-0.3","-2.3"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","３０人以上","2011.0","-0.1","-0.4","2.8","2.6","-1.7","-1.7","-3.8","-0.5","2.8","0.3","4.6","-5.0","-0.6"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","３０人以上","2012.0","-3.7","-8.9","-6.1","-2.0","-5.0","-2.3","-2.7","-2.2","-5.1","-4.8","-6.9","1.0","0.7"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","３０人以上","2013.0","0.5","4.5","4.2","0.4","0.2","0.3","1.1","0.4","-0.2","-1.0","-1.2","-1.7","-1.7"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","３０人以上","2014.0","0.2","-1.5","-1.3","-0.6","-0.1","-0.2","-3.0","-0.2","0.4","0.8","1.8","3.3","3.7"
"パートタイム労働者比率（前年差）","H運輸業、郵便業","３０人以上","2015.0","-0.6","0.0","-2.0","-3.0","-6.8","-6.4","9.4","3.2","2.6","2.6","0.7","-0.9","-7.0"
"パートタイム労働者比率","I卸売業・小売業","３０人以上","2005.0","54.0","57.8","58.0","58.0","58.2","54.0","51.9","51.6","50.9","51.6","52.1","52.0","51.4"
"パートタイム労働者比率","I卸売業・小売業","３０人以上","2006.0","50.1","50.1","51.5","49.3","47.7","49.7","50.3","49.7","49.4","50.0","50.2","51.1","51.8"
"パートタイム労働者比率","I卸売業・小売業","３０人以上","2007.0","54.4","53.5","53.2","52.7","52.9","54.0","54.2","54.2","55.2","54.5","55.8","57.0","55.7"
"パートタイム労働者比率","I卸売業・小売業","３０人以上","2008.0","54.4","57.0","56.2","55.9","56.0","54.2","53.9","53.9","53.6","52.5","53.0","53.4","53.0"
"パートタイム労働者比率","I卸売業・小売業","３０人以上","2009.0","78.7","79.0","78.2","78.9","77.2","78.7","78.5","78.6","78.3","78.4","78.7","79.8","79.8"
"パートタイム労働者比率","I卸売業・小売業","３０人以上","2010.0","78.9","79.2","78.6","79.1","79.3","79.3","79.1","78.9","78.5","78.6","78.4","78.9","78.9"
"パートタイム労働者比率","I卸売業・小売業","３０人以上","2011.0","78.6","78.6","78.4","78.7","78.7","78.6","78.7","78.6","79.1","79.1","77.5","78.6","78.8"
"パートタイム労働者比率","I卸売業・小売業","３０人以上","2012.0","65.0","61.7","62.2","68.9","64.0","65.3","64.7","65.6","65.6","65.6","65.8","65.5","65.2"
"パートタイム労働者比率","I卸売業・小売業","３０人以上","2013.0","65.1","65.5","65.6","65.7","64.3","65.5","65.9","65.7","64.9","65.1","64.7","64.7","63.0"
